Country,Metric,Region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Finland,Military Expenditure,Western Europe,"$1,959,708,814.02 ","$1,653,905,118.86 ","$1,558,135,249.68 ","$1,479,270,879.01 ","$1,611,406,522.05 ","$2,475,059,743.11 ","$2,892,938,123.99 ","$2,999,391,048.80 ","$3,128,517,474.45 ","$3,296,557,750.14 ","$3,958,118,334.10 ","$3,940,584,835.36 ","$3,717,180,504.76 ","$4,099,505,807.29 ","$3,943,239,958.16 ","$4,161,139,945.22 ","$3,985,508,351.99 ","$3,399,134,967.28 ","$3,415,008,249.65 ","$3,429,968,212.30 ","$3,849,013,845.12 "
France,Military Expenditure,Western Europe,"$40,041,139,680.33 ","$38,897,240,330.82 ","$33,814,262,023.22 ","$33,276,659,716.69 ","$36,403,933,932.52 ","$45,916,973,840.73 ","$53,007,021,660.99 ","$52,908,769,835.35 ","$54,516,076,829.57 ","$60,594,986,847.11 ","$66,009,448,126.85 ","$66,884,028,878.52 ","$61,781,748,107.73 ","$64,600,927,219.52 ","$60,035,153,810.77 ","$62,417,099,178.26 ","$63,613,569,143.46 ","$55,342,131,529.33 ","$57,358,414,419.13 ","$60,417,498,821.89 ","$63,799,676,593.13 "
Germany,Military Expenditure,Western Europe,"$33,146,457,056.99 ","$32,604,005,638.02 ","$28,149,990,786.81 ","$27,425,257,939.53 ","$29,333,207,849.04 ","$35,055,088,179.46 ","$38,007,611,455.68 ","$38,054,021,787.79 ","$38,092,382,652.50 ","$42,551,851,943.10 ","$48,081,444,318.31 ","$47,470,073,335.44 ","$46,255,521,194.10 ","$48,140,347,950.59 ","$46,470,870,904.83 ","$45,930,540,563.15 ","$46,102,673,010.40 ","$39,812,576,244.87 ","$41,579,494,873.82 ","$45,381,722,042.23 ","$49,470,627,810.63 "
Greece,Military Expenditure,Western Europe,"$4,824,257,168.88 ","$5,012,285,642.30 ","$4,564,522,446.24 ","$4,428,103,551.65 ","$4,734,177,215.19 ","$5,035,585,541.86 ","$6,267,468,787.44 ","$7,028,428,592.75 ","$7,607,186,181.62 ","$8,533,090,258.10 ","$10,574,138,499.29 ","$10,641,348,182.87 ","$8,163,619,386.92 ","$7,128,608,267.13 ","$5,914,988,423.40 ","$5,655,183,035.72 ","$5,531,285,908.88 ","$4,818,121,326.38 ","$4,963,484,464.40 ","$5,093,788,906.46 ","$5,227,152,013.03 "
Iceland,Military Expenditure,Western Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,Military Expenditure,Western Europe,"$742,402,153.19 ","$741,508,607.79 ","$694,674,774.28 ","$767,778,364.40 ","$811,255,940.90 ","$965,199,981.04 ","$1,101,860,647.04 ","$1,144,978,361.44 ","$1,190,379,117.37 ","$1,372,225,370.16 ","$1,582,890,833.85 ","$1,415,725,373.45 ","$1,274,228,688.36 ","$1,300,331,547.01 ","$1,157,531,729.65 ","$1,195,763,444.37 ","$1,192,733,691.22 ","$997,005,655.98 ","$1,001,610,418.30 ","$1,025,063,447.42 ","$1,207,582,356.62 "
Italy,Military Expenditure,Western Europe,"$20,825,125,351.86 ","$21,016,456,909.93 ","$19,878,720,932.38 ","$19,519,381,482.04 ","$21,610,059,761.89 ","$26,824,213,292.04 ","$30,261,076,654.68 ","$29,737,642,391.68 ","$29,633,022,263.31 ","$31,982,431,792.49 ","$36,839,989,746.22 ","$34,054,481,324.40 ","$32,020,819,951.13 ","$33,828,804,971.12 ","$29,781,008,205.13 ","$29,957,445,904.52 ","$27,701,034,334.94 ","$22,180,845,070.42 ","$25,033,027,894.68 ","$26,447,892,915.43 ","$27,807,513,898.23 "
Luxembourg,Military Expenditure,Western Europe,"$143,139,739.06 ","$140,758,789.17 ","$128,192,371.48 ","$160,284,919.15 ","$153,404,545.67 ","$198,637,975.52 ","$234,676,202.72 ","$243,744,714.72 ","$247,133,192.25 ","$286,051,368.80 ","$236,720,167.14 ","$222,959,826.86 ","$274,135,432.54 ","$256,962,415.79 ","$237,503,049.76 ","$258,655,906.23 ","$279,019,013.05 ","$276,145,059.33 ","$260,729,679.58 ","$357,671,613.66 ","$419,372,654.80 "
Malta,Military Expenditure,Western Europe,"$29,081,268.41 ","$27,986,620.66 ","$25,353,948.05 ","$27,119,323.11 ","$28,403,690.80 ","$34,125,502.00 ","$40,526,469.19 ","$52,498,963.32 ","$44,434,425.84 ","$49,263,377.12 ","$56,032,519.13 ","$59,110,111.51 ","$58,728,949.93 ","$55,893,126.48 ","$49,922,008.91 ","$53,789,438.88 ","$56,514,879.92 ","$51,796,606.41 ","$59,672,922.99 ","$64,235,888.17 ","$69,284,609.85 "
Netherlands,Military Expenditure,Western Europe,"$6,836,084,823.13 ","$7,026,433,290.33 ","$5,971,807,628.52 ","$6,200,391,942.80 ","$6,728,153,969.22 ","$8,356,338,470.08 ","$9,377,114,724.38 ","$9,566,980,052.73 ","$10,217,765,740.31 ","$11,480,377,423.57 ","$12,374,848,939.83 ","$12,131,812,075.69 ","$11,220,523,280.07 ","$11,647,934,608.09 ","$10,364,720,786.75 ","$10,226,260,324.85 ","$10,332,602,877.92 ","$8,667,849,617.39 ","$9,115,240,931.64 ","$9,580,685,498.22 ","$11,242,755,804.21 "
Norway,Military Expenditure,Western Europe,"$3,324,939,364.62 ","$3,309,198,286.48 ","$2,922,343,509.99 ","$2,965,973,986.98 ","$4,065,868,548.48 ","$4,517,514,992.47 ","$4,887,380,337.44 ","$4,884,904,928.21 ","$5,011,748,966.61 ","$5,875,288,100.49 ","$6,370,921,985.82 ","$6,195,603,602.23 ","$6,498,659,038.38 ","$7,232,260,585.48 ","$7,143,962,183.07 ","$7,391,829,787.23 ","$7,334,073,604.06 ","$5,815,228,174.60 ","$5,997,385,047.52 ","$6,465,750,412.31 ","$7,067,073,380.85 "
Portugal,Military Expenditure,Western Europe,"$2,335,597,095.59 ","$2,406,493,740.32 ","$2,204,256,495.30 ","$2,324,811,411.08 ","$2,602,230,483.27 ","$3,109,812,941.72 ","$3,719,431,562.09 ","$4,039,322,489.18 ","$4,066,783,668.13 ","$4,366,184,074.74 ","$4,812,099,461.68 ","$4,949,690,418.61 ","$4,718,924,037.64 ","$4,904,393,519.19 ","$4,137,254,045.39 ","$4,724,102,082.03 ","$4,111,548,063.52 ","$3,565,420,871.69 ","$3,569,059,625.68 ","$3,646,515,109.58 ","$4,247,842,970.62 "
Spain,Military Expenditure,Western Europe,"$10,333,417,234.30 ","$11,113,722,490.40 ","$10,273,779,251.89 ","$10,222,074,075.40 ","$10,270,839,019.34 ","$12,880,532,801.22 ","$15,262,458,636.77 ","$15,997,724,220.27 ","$17,252,217,612.69 ","$20,065,668,634.81 ","$22,227,721,829.57 ","$20,178,274,984.96 ","$19,710,785,449.87 ","$19,695,435,494.30 ","$18,860,623,363.41 ","$17,242,959,322.00 ","$17,178,549,314.76 ","$15,188,853,149.96 ","$14,014,439,635.18 ","$16,043,533,257.46 ","$18,248,291,491.09 "
Sweden,Military Expenditure,Western Europe,"$5,132,285,182.02 ","$5,148,727,432.49 ","$4,789,440,136.91 ","$4,128,046,005.94 ","$4,354,573,015.43 ","$5,305,640,404.14 ","$5,514,710,384.83 ","$5,518,466,926.00 ","$5,577,203,266.36 ","$6,386,221,161.54 ","$6,024,791,006.05 ","$5,062,962,024.19 ","$5,885,935,800.39 ","$6,324,747,364.30 ","$6,243,671,605.40 ","$6,528,737,467.32 ","$6,555,518,063.90 ","$5,387,123,174.45 ","$5,427,549,191.34 ","$5,526,592,999.00 ","$5,755,367,603.12 "
Switzerland,Military Expenditure,Western Europe,"$3,494,250,970.82 ","$3,146,822,887.20 ","$2,800,146,846.36 ","$2,763,655,325.25 ","$2,882,696,761.86 ","$3,270,337,504.18 ","$3,503,819,863.29 ","$3,484,636,759.34 ","$3,328,973,393.73 ","$3,524,746,536.48 ","$4,098,459,038.49 ","$4,055,544,323.34 ","$4,115,407,849.19 ","$4,973,863,848.78 ","$4,592,165,377.68 ","$5,032,883,664.33 ","$4,612,776,714.76 ","$4,521,076,909.32 ","$4,571,348,246.67 ","$4,628,401,508.54 ","$4,795,847,181.20 "
UK,Military Expenditure,Western Europe,"$36,866,288,852.38 ","$36,453,353,007.89 ","$35,254,814,799.12 ","$35,331,927,359.62 ","$39,659,529,122.95 ","$46,942,962,290.52 ","$53,970,302,830.57 ","$55,151,564,187.51 ","$57,482,975,673.75 ","$65,986,089,656.88 ","$65,619,450,480.36 ","$57,914,627,858.03 ","$58,082,848,794.54 ","$60,270,435,686.81 ","$58,495,656,720.59 ","$56,861,759,588.28 ","$59,182,858,554.26 ","$53,862,185,493.29 ","$48,118,943,518.10 ","$46,433,303,401.23 ","$49,997,192,520.56 "
Bahrain,Military Expenditure,Middle East,"$329,787,234.04 ","$364,361,702.13 ","$359,042,553.19 ","$372,340,425.53 ","$444,148,936.17 ","$515,957,446.81 ","$531,914,893.62 ","$513,297,872.34 ","$574,202,127.66 ","$642,553,191.49 ","$719,946,808.51 ","$828,191,489.36 ","$842,819,148.94 ","$1,033,510,638.30 ","$1,182,180,851.06 ","$1,347,606,382.98 ","$1,475,265,957.45 ","$1,442,021,276.60 ","$1,505,534,574.47 ","$1,532,712,765.96 ","$1,396,808,510.64 "
Egypt,Military Expenditure,Middle East,"$2,372,048,406.14 ","$2,447,978,793.90 ","$2,627,698,333.84 ","$2,834,256,229.55 ","$2,902,768,425.24 ","$2,383,914,898.27 ","$2,369,743,586.43 ","$2,659,439,713.58 ","$2,952,520,159.00 ","$3,306,908,257.22 ","$3,779,880,349.75 ","$4,017,404,478.27 ","$4,407,286,452.72 ","$4,463,974,191.07 ","$4,557,748,767.35 ","$4,359,834,243.77 ","$5,085,120,542.10 ","$5,475,490,833.44 ","$4,513,022,526.82 ","$2,765,588,434.01 ","$3,109,997,891.99 "
Iran,Military Expenditure,Middle East,"$5,479,362,941.74 ","$6,650,285,144.00 ","$8,327,053,824.36 ","$10,378,791,765.72 ","$3,243,891,033.23 ","$3,717,068,449.78 ","$5,243,621,132.60 ","$6,796,744,965.39 ","$8,751,474,767.04 ","$9,330,901,881.77 ","$11,081,950,208.57 ","$12,584,623,338.71 ","$13,561,272,454.21 ","$14,277,667,360.57 ","$16,493,963,286.93 ","$11,997,186,984.10 ","$9,901,105,170.44 ","$10,588,769,670.87 ","$12,263,957,414.62 ","$13,931,196,489.80 ","$13,194,151,136.69 "
Iraq,Military Expenditure,Middle East,. .,. .,. .,. .,. .,. .,"$613,724,869.62 ","$1,120,278,532.61 ","$1,236,081,012.93 ","$1,989,948,747.38 ","$3,116,304,019.85 ","$3,237,179,487.18 ","$3,752,905,982.91 ","$4,278,632,478.63 ","$4,141,066,053.83 ","$7,780,188,679.25 ","$6,921,269,718.79 ","$9,604,231,010.85 ","$5,970,383,697.67 ","$7,416,385,135.14 ","$6,317,977,150.05 "
Israel,Military Expenditure,Middle East,"$9,145,784,897.79 ","$8,645,271,101.22 ","$9,407,761,463.10 ","$9,607,416,508.16 ","$10,090,890,494.68 ","$10,827,490,775.66 ","$11,127,065,293.53 ","$10,919,173,620.89 ","$11,558,970,816.67 ","$12,128,941,563.91 ","$14,191,949,919.44 ","$14,030,376,086.51 ","$14,605,298,603.69 ","$16,343,210,461.90 ","$15,567,095,862.41 ","$17,319,707,976.38 ","$18,485,829,607.27 ","$16,969,432,085.86 ","$14,783,814,747.80 ","$15,581,608,421.50 ","$15,946,788,601.44 "
Jordan,Military Expenditure,Middle East,"$496,473,906.91 ","$511,988,716.50 ","$529,337,094.50 ","$528,926,645.63 ","$521,861,777.15 ","$611,847,672.78 ","$586,741,889.99 ","$603,667,136.81 ","$701,551,480.96 ","$1,032,440,056.42 ","$1,358,383,579.90 ","$1,568,309,859.15 ","$1,557,887,323.94 ","$1,594,788,732.39 ","$1,472,816,901.41 ","$1,444,929,577.46 ","$1,548,873,239.44 ","$1,614,929,577.46 ","$1,768,309,859.15 ","$1,939,718,309.86 ","$1,957,746,478.87 "
Kuwait,Military Expenditure,Middle East,"$2,282,153,591.73 ","$2,286,352,512.20 ","$2,697,075,596.36 ","$2,685,735,278.45 ","$2,821,521,877.90 ","$3,130,746,412.90 ","$3,450,118,764.85 ","$3,509,417,808.22 ","$3,597,816,497.57 ","$4,115,736,733.59 ","$4,430,342,077.46 ","$4,208,871,205.93 ","$4,335,204,653.06 ","$5,393,526,319.03 ","$5,941,536,636.95 ","$5,698,067,232.52 ","$5,832,249,789.15 ","$5,735,132,890.37 ","$6,446,742,131.36 ","$6,764,636,913.88 ","$7,296,266,526.42 "
Lebanon,Military Expenditure,Middle East,"$693,871,897.53 ","$829,663,624.79 ","$930,016,583.75 ","$958,540,630.18 ","$907,462,686.57 ","$923,383,084.58 ","$954,560,530.68 ","$962,520,729.68 ","$1,008,955,223.88 ","$1,152,238,805.97 ","$1,169,485,903.81 ","$1,426,202,321.72 ","$1,585,406,301.82 ","$1,626,533,996.68 ","$1,757,213,930.35 ","$1,935,718,241.37 ","$2,270,065,959.79 ","$2,239,416,093.74 ","$2,606,456,908.32 ","$2,441,074,857.02 ","$2,775,557,816.21 "
Oman,Military Expenditure,Middle East,"$1,318,205,461.64 ","$1,340,442,132.64 ","$1,577,243,172.95 ","$1,819,895,968.79 ","$1,868,465,539.66 ","$1,969,310,793.24 ","$2,230,689,206.76 ","$2,739,011,703.51 ","$3,022,626,788.04 ","$3,244,603,381.01 ","$3,462,483,745.12 ","$3,367,490,247.07 ","$3,671,391,417.43 ","$5,000,715,214.56 ","$9,250,650,195.06 ","$8,766,319,895.97 ","$8,213,524,057.22 ","$7,533,550,065.02 ","$7,935,955,786.74 ","$6,802,665,799.74 ","$6,710,013,003.90 "
Qatar,Military Expenditure,Middle East,. .,. .,. .,. .,"$760,989,010.99 ","$784,615,384.62 ","$772,362,637.36 ","$887,500,000.00 ","$1,065,741,758.24 ","$1,562,225,274.73 ","$2,317,500,000.00 ","$1,948,351,648.35 ","$1,876,758,241.76 ",. .,. .,. .,. .,. .,. .,. .,. .
Saudi Arabia,Military Expenditure,Middle East,"$20,861,600,000.00 ","$18,320,000,000.00 ","$19,964,266,666.67 ","$21,026,666,666.67 ","$18,501,866,666.67 ","$18,747,466,666.67 ","$20,910,400,000.00 ","$25,392,038,600.72 ","$29,580,507,343.12 ","$35,469,513,008.67 ","$38,222,933,333.33 ","$41,267,200,000.00 ","$45,244,533,333.33 ","$48,530,933,333.33 ","$56,497,866,666.67 ","$67,020,000,000.00 ","$80,762,400,000.00 ","$87,185,866,666.67 ","$63,672,800,000.00 ","$70,400,000,000.00 ","$67,554,666,666.67 "
Syria,Military Expenditure,Middle East,"$1,096,039,533.05 ","$1,127,632,857.11 ","$897,044,908.65 ","$1,022,526,577.91 ","$1,102,912,156.91 ","$1,436,210,733.54 ","$1,388,544,983.49 ","$1,450,324,656.67 ","$1,435,215,692.28 ","$1,599,033,723.07 ","$1,732,416,847.90 ","$2,181,974,581.19 ","$2,346,021,283.01 ","$2,494,887,483.15 ",. .,. .,. .,. .,. .,. .,. .
Turkey,Military Expenditure,Middle East,"$8,781,048,158.21 ","$9,951,788,873.95 ","$9,993,730,196.94 ","$7,216,051,044.80 ","$9,050,377,181.98 ","$10,277,901,778.28 ","$10,920,773,882.18 ","$12,081,156,313.73 ","$13,363,298,981.19 ","$15,319,161,862.65 ","$17,127,313,221.86 ","$16,352,301,843.62 ","$17,939,370,512.44 ","$17,304,881,560.98 ","$17,958,240,405.64 ","$18,662,574,077.91 ","$17,772,167,745.07 ","$15,880,927,523.90 ","$17,853,980,850.44 ","$17,824,007,487.03 ","$18,967,113,030.80 "
UAE,Military Expenditure,Middle East,"$4,010,347,174.95 ","$4,233,083,730.43 ","$5,875,833,900.61 ","$5,797,957,794.42 ","$5,354,118,447.92 ","$5,834,717,494.89 ","$6,816,882,232.81 ","$6,604,220,558.20 ","$7,165,418,652.14 ","$8,460,993,873.38 ","$11,571,681,415.93 ","$13,836,351,259.36 ","$17,504,697,072.84 ","$19,181,756,296.80 ","$19,024,098,025.87 ","$23,561,061,946.90 ","$22,755,071,477.20 ",. .,. .,. .,. .
Yemen,Military Expenditure,Middle East,"$384,502,730.31 ","$395,252,957.27 ","$473,664,032.45 ","$540,101,498.77 ","$737,366,548.04 ","$807,313,244.08 ","$735,485,127.94 ","$815,627,463.98 ","$822,130,536.06 ","$1,050,499,364.17 ","$1,196,411,765.88 ","$1,420,775,264.12 ","$1,448,153,376.75 ","$1,612,254,443.41 ","$1,618,840,126.71 ","$1,648,750,523.52 ","$1,714,830,843.69 ",. .,. .,. .,. .
